text,label
"Fuck",1
"Fuck You",1
"Asshole",1
"Bitch",1
"Whore",1
"Hoe",1
"Slut",1
"Retard",1
"Lee",1
"kmkl",1
"cunt",1
"wanker",1
"dumb",1
"F*** off!",1
"F*ck",1
"Sh1t",1
"Dumb",1
"Stupid",1
"Kill yourself",1
"Go die",1
"Moron!",1
"Shut up",1
"Idiot",1
"Loser",1
"B*tch",1
"You're a slut",1
"You are disgusting",1
"You're such a bastard",1
"You're trash",1
"You're annoying as hell",1
"You are ugly",1
"Stop talking trash",1
"You are so dumb",1
"I hate you",1
"You're worthless",1
"You piece of shit",1
"You are garbage",1
"You're a fat pig",1
"Die already",1
"You are pathetic",1
"Fool!",1
"Ngr loe ma thar",1
"Ma a Loe",1
"Trash comment",1
"You are a moron",1
"Shame on you",1
"You're horrible",1
"You're annoying",1
"Piece of trash",1
"You're a jerk",1
"You're a fool",1
"Go rot",1
"You are useless",1
"Stop whining",1
"Min may loe",1
"Loser alert",1
"Get lost",1
"You're terrible",1
"Don't speak",1
"You are horrible",1
"Pathetic comment",1
"Ugly face",1
"Disgusting fool",1
"Brain dead",1
"You're an idiot",1
"Go to hell",1
"You're sick",1
"Dirty animal",1
"You smell bad",1
"Rotten trash",1
"You're a coward",1
"Go cry",1
"Stupid face",1
"Hopeless idiot",1
"You're dumb",1
"Shut your mouth",1
"Lazy pig",1
"You're insane",1
"Go away loser",1
"You're nothing",1
"Disgusting creature",1
"Freak",1
"Annoying brat",1
"Go vanish",1
"Filthy mouth",1
"You're brainless",1
"Stupid clown",1
"You're worthless trash",1
"Rot in hell",1
"Dirty scum",1
"Hopeless fool",1
"Go disappear",1
"Stinky trash",1
"You're hideous",1
"Go crawl",1
"You're gross",1

"Shut your face",1
"Go die in a hole",1
"You're awful",1
"Idiot clown",1
"Stupid pig",1
"You're horrible trash",1
"Annoying idiot",1
"Rotten fool",1
"Disgusting person",1
"Go drown",1
"Pathetic fool",1
"Nobody wants you here",1
"Your opinion is trash",1
"Your mother must be ashamed",1
"Uninstall the game",1
"You're a mistake",1
"Your existence is pointless",1
"Can't you do anything right?",1
"Why are you so stupid?",1
"Stop breathing my air",1
"You're a cancer",1
"Go play in traffic",1
"I hope you get banned",1
"You should be ashamed",1
"Your face makes me sick",1
"Your voice is annoying",1
"Don't hate",0
"You're a clown",1
"Zero talent",1
"Absolute garbage human",1
"Waste of oxygen",1
"Human scum",1
"Mental midget",1
"Embarassing",1
"Piss off",1
"Son of a bitch",1
"Fuckface",1
"Dickhead",1
"Twat",1
"Prick",1
"Motherfucker",1
"Scumbag",1
"Degenerate",1
"Inbred",1
"Neanderthal",1
"Troglodyte",1
"Fuckwad",1
"Shithead",1
"Shit for brains",1
"Worthless piece of garbage",1
"Kys",1
"Go off yourself",1
"Eat shit and die",1
"Light yourself on fire",1
"I will find you",1
"I hope you die painfully",1
"You deserve to be hurt",1
"I wish you were never born",1
"Your family is disappointed in you",1
"You're a failure at life",1
"Kill yourself now",1
"End your life",1
"Do us all a favor and disappear",1
"Good Morning",0
"Nice",0
"Good girl",0
"I Love You",0
"Koko",0
"Well done",0
"Thank you",0
"Great job",0
"Have a nice day",0
"Best wishes",0
"Keep it up",0
"You're awesome",0
"Happy birthday",0
"Excellent work",0
"Good boy",0
"Nice to meet you",0
"See you soon",0
"Nice Work",0
"Good evening",0
"Good night",0
"Have a great weekend",0
"Wish you success",0
"Congratulations",0
"Nice to see you",0
"Take care",0
"Enjoy your day",0
"You are kind",0
"You are helpful",0
"You are smart",0
"You did well",0
"Best of luck",0
"See you tomorrow",0
"Good luck with your work",0
"You are brilliant",0
"Stay safe",0
"You are wonderful",0
"Keep smiling",0
"Good effort",0
"Have a wonderful day",0
"Enjoy your weekend",0
"Keep learning",0
"Stay positive",0
"You are amazing",0
"Well explained",0
"Nice article",0
"Great explanation",0
"Thanks for sharing",0
"Very helpful",0
"You made my day",0
"Wonderful effort",0
"Keep up the great work",0
"Wonderful job",0
"Good luck",0
"Have fun",0
"You did amazing",0
"Very informative",0
"Great insight",0
"Thanks a lot",0
"Much appreciated",0
"Lovely message",0
"Great support",0
"Best teacher",0
"Awesome idea",0
"You inspire me",0
"Nice advice",0
"Brilliant point",0
"Good thoughts",0
"Great achievement",0
"Perfect answer",0
"Excellent point",0
"Keep going",0
"Great energy",0
"Love this",0
"Nice progress",0
"Super work",0
"Keep shining",0
"Best friend",0
"Lovely day",0
"Great thanks",0
"Happy holidays",0
"Good vibes",0
"Well done friend",0
"Perfect work",0
"Great friend",0
"Kind words",0
"Well said",0
"Awesome work",0
"Great kindness",0
"Stay strong",0
"Best comment",0
"Wonderful words",0
"Very kind",0
"Great thought",0
"Great success",0
"Best wishes always",0
"Good message",0
"Excellent support",0
"Very inspiring",0
"Wonderful support",0
"Great improvement",0
"Positive words",0
"Nice thought",0
"Brilliant work",0
"Keep improving",0
"Great response",0
"Excellent teaching",0
"Awesome effort",0
"Good luck always",0
"that movie was to die for",0
"kill two birds with one stone",0
"this is stupid simple",0
"don't be dumb, learn from mistakes",0
"that was a killer performance",0
"this is crazy good",0
 "i will break your legs",1
"that joke was to die for",0
"this is wicked cool",0
"what the hell are you doing",0
"hell yeah that's awesome",0
"this is damn good",0
"that's bloody amazing",0
"you killed it in that presentation",0
"this is insane how good it is",0
"that's sick bro",0
"this is the bomb",0
"you're on fire today",0
"that's badass work",0
"this is the shit",0
"Thanks for your help",0
"I appreciate your effort",0
"great work on this project",0
"you're doing amazing",0
"keep up the good work",0
"this is really helpful",0
"thanks for explaining",0
"you're a great teacher",0
"I learned a lot from you",0
"this community is awesome",0
"thanks for sharing your knowledge",0
"you're very talented",0
"this is impressive work",0
"you have great skills",0
"thanks for being patient",0
